Name,Hash,Id,Tag,Tier,Type,Source,Category,Element,Power,Masterwork Type,Masterwork Tier,Owner,Locked,Equipped,Year,Season,Event,Recoil,AA,Impact,Range,Zoom,Blast Radius,Velocity,Stability,ROF,Reload,Mag,Handling,Charge Time,Draw Time,Accuracy,Charge Rate,Guard Resistance,Guard Endurance,Swing Speed,Shield Duration,Airborne Effectiveness,Crafted,Crafted Level,Kill Tracker,Foundry,Loadouts,Notes,Perks 0,Perks 1,Perks 2,Perks 3,Perks 4,Perks 5,Perks 6,Perks 7,Perks 8,Perks 9,Perks 10,Perks 11,Perks 12,Perks 13,Perks 14
A Distant Pull,1769847435,"""6917529905642457356""",keep,Legendary,Sniper Rifle,sonar,KineticSlot,Stasis,1900,Reload Speed,4,Vault,true,false,6,21,,58,72,55,45,35,0,0,40,140,60,5,70,0,0,0,0,0,0,0,0,3,false,0,0,,,"Looking for: Overflow
+ Explosive Payload, Overflow
+ Headstone",Rapid-Fire Frame*,Corkscrew Rifling*,Hammer-Forged Rifling,Accurized Rounds*,Steady Rounds,Overflow*,Discord*,Kill Tracker,Unsated Hunger*,Tier 4: Reload Speed*,,,,,
A Distant Pull,1769847435,"""6917529911000649973""",,Legendary,Sniper Rifle,sonar,KineticSlot,Stasis,1900,Stability,3,Vault,true,false,6,21,,58,72,55,35,35,0,0,43,140,36,7,70,0,0,0,0,0,0,0,0,13,false,0,0,,,"Looking for: Keep Away
+ Headstone, Overflow
+ Headstone",Rapid-Fire Frame*,Corkscrew Rifling*,Extended Barrel,Extended Mag*,Flared Magwell,Moving Target*,Headstone*,Kill Tracker,Unsated Hunger*,Tier 3: Stability*,,,,,
Aberrant Action,2198166292,"""6917530050253106669""",,Legendary,Sidearm,echoes,Energy,Solar,1957,Velocity,4,Vault,false,false,7,24,,60,80,0,0,18,50,55,48,100,28,9,40,0,0,0,0,0,0,0,0,11,false,0,0,,,,Rocket-Assisted Frame*,Volatile Launch*,Smart Drift Control,Alloy Magazine*,Implosion Rounds,Strategist*,Incandescent*,Radiolaria Transposer*,Kill Tracker,Tier 4: Velocity*,,,,,
Aberrant Action,2198166292,"""6917530050253110075""",,Legendary,Sidearm,echoes,Energy,Solar,1957,Blast Radius,2,Vault,false,false,7,24,,60,80,0,0,18,47,46,63,100,28,12,45,0,0,0,0,0,0,0,0,11,false,0,0,,,,Rocket-Assisted Frame*,Confined Launch*,Smart Drift Control,Appended Mag*,High-Velocity Rounds,Pugilist*,Snapshot Sights*,Radiolaria Transposer*,Kill Tracker,Tier 2: Blast Radius*,,,,,
Aberrant Action,2198166292,"""6917530058099897281""",infuse,Legendary,Sidearm,echoes,Energy,Solar,1986,Stability,4,Vault,false,false,7,24,,90,80,0,0,18,35,56,62,100,28,12,55,0,0,0,0,0,0,0,0,11,false,0,0,,,,Rocket-Assisted Frame*,Countermass*,Smart Drift Control,Appended Mag*,Extended Mag,Field Prep*,Golden Tricorn*,Radiolaria Transposer*,Kill Tracker,Tier 4: Stability*,,,,,
Aberrant Action,2198166292,"""6917530058340443312""",,Legendary,Sidearm,echoes,Energy,Solar,1988,Handling,4,Warlock(1927),false,true,7,24,,60,80,0,0,18,30,81,38,100,38,9,49,0,0,0,0,0,0,0,0,11,false,0,0,,,,Rocket-Assisted Frame*,Hard Launch*,Linear Compensator,High-Velocity Rounds*,Implosion Rounds,Threat Detector*,Reverberation*,Radiolaria Transposer*,Kill Tracker,Tier 4: Handling*,,,,,
Aberrant Action,2198166292,"""6917530058349778523""",,Legendary,Sidearm,echoes,Energy,Solar,1990,Reload Speed,1,Vault,false,false,7,24,,90,80,0,0,18,35,56,58,100,29,12,55,0,0,0,0,0,0,0,0,11,false,0,58,,,,Rocket-Assisted Frame*,Countermass*,Appended Mag*,Beacon Rounds*,Golden Tricorn*,Radiolaria Transposer*,Kill Tracker,Tier 1: Reload Speed*,,,,,,,
Aberrant Action,2198166292,"""6917530058569672282""",infuse,Legendary,Sidearm,echoes,Energy,Solar,1989,Velocity,2,Vault,false,false,7,24,,90,80,0,0,18,35,58,58,100,28,9,55,0,0,0,0,0,0,0,0,11,false,0,0,,,,Rocket-Assisted Frame*,Countermass*,Linear Compensator,Alloy Magazine*,High-Velocity Rounds,Threat Detector*,Demolitionist*,Radiolaria Transposer*,Kill Tracker,Tier 2: Velocity*,,,,,
Adverse Possession IX,1890332078,"""6917530050255742192""",,Legendary,Scout Rifle,legendaryengram,Energy,Arc,1954,Range,4,Vault,false,false,7,24,,86,61,62,45,20,0,0,59,180,70,17,33,0,0,0,0,0,0,0,0,10,false,0,0,cassoid,,,Precision Frame*,Chambered Compensator*,Corkscrew Rifling,Tactical Mag*,Alloy Magazine,Overflow*,Sympathetic Arsenal*,Suros Synergy*,Kill Tracker,Tier 4: Range*,,,,,
Adverse Possession IX,1890332078,"""6917530050769349599""",,Legendary,Scout Rifle,legendaryengram,Energy,Arc,1964,Reload Speed,2,Vault,false,false,7,24,,76,61,62,46,20,0,0,49,180,42,18,43,0,0,0,0,0,0,0,0,10,false,0,0,cassoid,,,Precision Frame*,Corkscrew Rifling*,Polygonal Rifling,Appended Mag*,Alloy Magazine,Elemental Capacitor*,Wellspring*,Suros Synergy*,Kill Tracker,Tier 2: Reload Speed*,,,,,
